Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Kuwait,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Lesotho,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Libya,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Liechtenstein,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Russia,MtCO2e,93.75,89.51,54.16,83.23,48.72,49.58,39.05,35.89,23.87,24.14,27.29,28.02,27.16,27.31,25.77,17.55,15.95,18.34,18.78,14.74,13.64,16.66,14.11,14.21,16.93,15.25,14.14,14.63,14.96
Poland,MtCO2e,8.01,9.72,10.71,12.67,13.72,13.26,13.95,14.53,13.16,13.56,12.64,12.42,11.60,11.79,12.07,12.61,10.78,9.76,10.21,9.97,10.41,9.91,10.12,9.84,9.45,9.04,9.60,10.64,10.87
Mexico,MtCO2e,5.13,5.31,5.36,5.39,5.08,5.23,5.65,6.02,6.01,6.63,6.60,6.54,6.30,6.71,7.04,7.44,7.83,8.13,8.43,8.62,8.58,8.86,9.42,8.92,8.93,9.65,9.78,9.97,10.39
Netherlands,MtCO2e,10.04,10.96,10.64,11.00,10.40,10.61,11.34,9.89,9.77,9.68,9.79,9.55,8.82,8.73,8.72,8.83,7.72,7.61,7.62,7.52,8.78,7.66,7.54,7.55,6.72,7.11,7.13,6.86,6.63
Myanmar,MtCO2e,0.00,0.00,0.18,0.37,0.49,0.53,0.47,0.55,0.78,1.02,0.62,0.64,0.48,0.69,0.73,0.73,0.76,0.75,0.74,0.74,0.55,0.74,1.75,2.35,2.90,3.27,4.22,5.50,5.66
Malaysia,MtCO2e,false,0.40,1.21,0.19,1.31,1.39,1.51,1.51,0.95,0.33,0.32,0.30,0.30,0.30,0.27,0.32,0.79,0.82,0.83,0.59,3.26,2.76,3.16,3.14,3.06,2.69,1.14,3.04,2.99
Morocco,MtCO2e,0.70,0.76,0.88,0.98,1.06,1.10,1.11,1.11,1.19,1.27,1.27,1.34,1.36,1.42,1.50,1.59,1.65,1.67,1.72,2.00,2.04,2.15,2.24,2.32,2.38,2.52,2.61,2.75,2.85
Oman,MtCO2e,0.47,0.52,0.59,0.68,0.74,0.75,0.94,1.49,1.61,1.19,1.15,1.68,1.67,1.66,0.77,1.43,2.18,1.80,1.95,2.11,2.17,2.17,2.37,2.45,2.51,2.60,2.70,2.71,2.47
Romania,MtCO2e,8.01,6.76,3.52,2.57,1.96,2.50,1.86,2.67,2.29,1.03,1.14,1.00,0.85,0.86,1.20,1.30,1.10,1.42,1.45,1.16,1.17,1.56,1.72,1.42,1.36,1.50,1.53,1.84,2.11
Mongolia,MtCO2e,1.04,0.39,0.77,0.40,0.35,0.55,0.59,0.22,0.22,0.45,0.19,0.52,0.26,0.40,0.35,0.46,0.65,0.94,0.96,0.83,0.63,1.08,1.14,1.33,1.15,0.80,1.43,1.13,1.76
Namibia,MtCO2e,false,0.56,0.67,0.66,0.81,1.07,0.60,0.61,0.62,0.59,0.61,0.82,0.70,0.76,0.80,0.71,0.75,0.80,0.95,1.00,1.07,1.10,1.18,1.28,1.36,1.44,1.46,1.45,1.44
New Zealand,MtCO2e,1.21,1.09,1.20,1.21,1.28,1.35,1.39,1.49,1.54,1.57,1.51,1.53,1.67,1.77,1.59,1.76,1.79,1.72,1.64,1.43,1.43,1.55,1.74,1.67,1.72,1.63,1.50,1.51,1.41
Portugal,MtCO2e,1.49,1.51,1.47,1.44,1.45,1.43,2.35,1.96,1.80,1.89,2.12,1.42,1.27,1.22,1.59,1.57,1.19,1.26,1.13,1.11,1.23,1.12,1.04,1.11,1.15,1.21,1.16,1.19,1.20
Norway,MtCO2e,1.39,1.85,1.76,1.68,1.77,1.74,1.93,1.94,1.99,1.93,1.81,1.91,1.98,2.12,2.25,2.17,2.07,1.95,1.83,2.13,2.19,2.14,2.27,2.04,1.83,0.88,0.92,1.02,0.95
Nepal,MtCO2e,0.10,0.12,0.13,0.14,0.16,0.18,0.18,0.21,0.22,0.22,0.23,0.20,0.20,0.19,0.21,0.21,0.21,0.17,0.26,0.34,0.34,0.34,0.37,0.42,0.47,0.41,0.68,0.83,0.90
Pakistan,MtCO2e,0.94,0.87,0.92,0.94,1.01,0.88,0.88,0.80,0.81,0.95,0.83,0.75,0.67,0.64,0.46,0.40,0.35,0.38,0.28,0.26,0.21,0.18,0.31,0.37,0.47,0.84,0.97,0.82,0.87
Philippines,MtCO2e,0.78,0.73,0.84,0.87,0.79,0.93,0.99,1.12,1.05,1.00,0.88,0.80,0.87,0.93,0.86,0.86,0.76,1.20,0.79,0.64,0.67,0.58,0.56,0.59,0.53,0.60,0.71,0.90,0.65
Nigeria,MtCO2e,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,2.42,0.12,1.17,0.69,0.59,0.64,0.77,2.28,3.35,3.32,2.73,1.18,4.00,3.29,4.18,5.31,6.50,5.28,0.77,0.84,0.54
Papua New Guinea,MtCO2e,0.40,0.39,0.39,0.39,0.38,0.25,0.24,0.32,0.30,0.31,0.04,0.05,0.05,0.05,0.06,0.09,0.08,0.36,0.33,0.34,0.35,0.36,0.31,0.32,0.32,0.32,0.38,0.37,0.39
Moldova,MtCO2e,11.51,6.56,1.53,1.35,1.17,1.07,0.68,0.63,0.52,0.35,0.24,0.26,0.32,0.29,0.26,0.21,0.22,0.21,0.24,0.22,0.22,0.21,0.17,0.18,0.18,0.17,0.23,0.32,0.32
Mauritania,MtCO2e,0.26,0.27,0.27,0.28,0.29,0.29,0.28,0.28,0.21,0.19,0.18,0.19,0.19,0.20,0.23,0.20,0.18,0.20,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.18,0.17,0.24,0.26
