Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Venezuela,MtCO2e,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.29,0.78,0.30,0.44,0.24,0.04,0.70,0.06,0.13,0.08,0.21,0.07,0.04,0.46,0.03,0.02,0.14,0.11,0.14,0.34,0.05,0.11
Guinea-Bissau,MtCO2e,0.14,0.14,0.14,0.14,0.14,0.14,0.00,0.02,0.08,0.14,0.07,0.07,0.12,0.14,0.19,0.19,0.26,0.24,0.16,0.13,0.16,0.12,0.24,0.14,0.19,0.25,0.12,0.08,0.08
Paraguay,MtCO2e,0.31,0.31,0.31,0.31,0.31,0.31,0.39,0.52,0.43,1.11,0.21,0.24,0.66,0.36,0.19,0.38,0.21,0.85,0.10,0.08,0.15,0.15,0.09,0.16,0.05,0.03,0.07,0.31,0.08
Argentina,MtCO2e,0.37,0.37,0.37,0.37,0.37,0.37,0.83,0.99,0.92,1.29,0.63,0.17,0.18,0.25,0.33,0.28,0.25,0.23,0.28,0.35,0.20,0.14,0.17,0.49,0.05,0.13,0.10,0.35,0.08
Papua New Guinea,MtCO2e,0.23,0.23,0.23,0.23,0.23,0.23,0.11,3.80,0.14,0.12,0.08,0.01,0.13,0.04,0.24,0.02,0.07,0.01,0.02,0.02,0.03,0.02,0.01,0.03,0.03,0.53,0.02,0.02,0.06
Peru,MtCO2e,0.06,0.06,0.06,0.06,0.06,0.06,0.03,0.03,0.05,0.05,0.01,0.01,0.04,0.10,0.05,0.24,0.05,0.11,0.04,0.03,0.13,0.03,0.09,0.05,0.05,0.06,0.06,0.02,0.06
Ukraine,MtCO2e,0.03,0.03,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.03,0.03,0.01,0.07,0.03,0.02,0.01,0.08,0.06,0.03,0.05,0.07,0.12,0.15,0.01,0.02,0.06
North Korea,MtCO2e,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.15,0.06,0.04,0.04,0.05,0.01,0.02,0.22,0.07,0.02,0.01,0.03,0.14,0.01,0.07,0.00,0.01,0.20,0.07,0.00,0.01,0.05
Nigeria,MtCO2e,0.72,0.72,0.72,0.72,0.72,0.72,3.14,2.67,3.13,2.65,2.94,0.22,0.18,0.26,0.13,0.39,0.19,0.14,0.15,0.08,0.12,0.08,0.06,0.10,0.07,0.05,0.16,0.12,0.04
Nicaragua,MtCO2e,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.05,0.19,0.05,0.06,0.00,0.00,0.08,0.01,0.09,0.02,0.01,0.02,0.01,0.03,0.02,0.01,0.04,0.06,0.03,0.06,0.01,0.04
Belarus,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.07,0.05,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.01,0.00,false,0.03
Guinea,MtCO2e,0.09,0.09,0.09,0.09,0.09,0.09,0.05,0.09,0.20,0.15,0.09,0.03,0.04,0.09,0.08,0.10,0.12,0.10,0.11,0.09,0.07,0.09,0.12,0.10,0.10,0.15,0.08,0.04,0.03
Bangladesh,MtCO2e,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.03,0.02,0.10,0.00,0.03,0.01,0.04,0.19,0.03,0.08,0.10,0.01,0.02,0.03,0.13,0.11,0.02,0.01,0.00,0.02
Chile,MtCO2e,0.09,0.09,0.09,0.09,0.09,0.09,0.05,0.10,0.08,0.09,0.04,0.02,0.06,0.05,0.04,0.06,0.04,0.05,0.12,0.05,0.03,0.08,0.07,0.03,0.07,0.28,0.05,0.67,0.02
Senegal,MtCO2e,0.15,0.15,0.15,0.15,0.15,0.15,0.26,0.34,0.58,0.84,0.55,0.00,0.00,0.00,0.02,0.05,0.06,0.07,0.07,0.05,0.04,0.03,0.05,0.05,0.03,0.02,0.03,0.01,0.02
Gabon,MtCO2e,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.05,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.01,0.02,0.01,0.02,0.02,0.03,0.02
Ghana,MtCO2e,0.06,0.06,0.06,0.06,0.06,0.06,0.04,0.14,0.37,0.20,0.23,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.04,0.02,0.02
