Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ghana,MtCO2e,0.30,0.29,0.34,0.35,0.41,0.45,0.49,0.51,0.58,0.66,0.68,0.65,0.83,0.82,0.90,0.94,1.02,1.04,1.13,1.31,1.26,1.43,1.64,1.70,1.65,1.79,1.68,2.04,2.31
Bahrain,MtCO2e,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.07,0.07,0.08,0.08,0.13,0.13,0.12,0.14,0.17,0.19,0.21,0.24,0.29,0.72,0.79,0.43,1.76,2.16,2.09,2.12,1.95,2.17
Guatemala,MtCO2e,0.71,0.76,0.84,1.04,1.09,1.28,1.22,1.25,1.29,1.13,1.29,1.34,1.03,1.08,0.94,1.46,1.57,1.89,1.48,1.27,1.34,1.68,1.67,1.72,1.82,1.98,2.04,1.95,1.95
Georgia,MtCO2e,7.39,6.80,4.04,3.13,2.14,0.92,1.21,0.94,0.77,0.65,0.66,0.33,0.27,0.35,0.26,0.29,0.43,0.48,0.63,0.64,0.58,1.03,1.08,1.72,1.62,1.64,1.54,1.70,1.78
Lesotho,MtCO2e,1.06,1.11,1.16,1.19,1.23,1.25,1.28,1.31,1.33,1.35,1.36,1.39,1.41,1.43,1.46,1.48,1.51,1.53,1.56,1.59,1.64,1.68,1.73,1.77,1.78,1.65,1.65,1.66,1.74
Jordan,MtCO2e,1.30,1.15,1.30,1.29,1.65,1.74,1.75,1.85,1.99,1.99,2.17,2.06,2.08,2.14,2.60,2.95,3.00,2.96,2.61,2.66,2.30,2.08,2.18,1.90,2.35,1.84,2.16,1.64,1.62
El Salvador,MtCO2e,0.50,0.55,0.73,0.73,0.78,0.80,0.69,0.93,1.01,1.04,1.06,1.11,1.16,1.17,1.33,1.28,1.32,1.54,1.23,0.79,0.89,1.04,1.29,0.85,1.05,0.95,1.19,1.28,1.41
Angola,MtCO2e,1.76,1.63,1.71,2.19,1.63,1.80,1.89,1.74,1.30,1.48,1.57,1.62,1.78,1.83,2.10,1.72,1.96,2.27,2.09,2.19,2.35,2.44,2.23,1.63,1.49,2.22,2.49,1.39,1.41
Albania,MtCO2e,2.14,1.41,0.76,0.54,0.46,0.49,0.46,0.24,0.40,0.48,0.47,0.54,0.43,0.50,0.55,0.45,0.68,0.64,0.50,0.78,1.04,1.11,0.64,0.58,0.92,0.68,0.61,1.07,1.22
Andorra,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Canada,MtCO2e,76.39,74.34,73.40,73.29,76.45,77.57,81.12,81.06,78.35,79.08,82.60,76.62,77.89,81.25,83.35,69.18,66.68,67.47,64.96,57.56,61.91,66.04,67.07,65.15,64.40,64.97,64.50,67.91,69.17
Colombia,MtCO2e,12.05,12.55,12.92,14.30,15.24,15.00,15.68,16.47,15.21,14.27,15.60,15.42,15.46,14.06,13.52,14.26,13.08,13.48,15.40,12.98,13.46,16.66,13.32,16.08,15.63,13.34,14.07,14.79,15.21
Azerbaijan,MtCO2e,16.28,17.02,9.13,7.17,6.90,8.57,4.43,3.93,2.13,2.59,2.67,2.20,3.01,2.38,1.89,1.69,1.62,2.28,2.65,1.75,1.44,1.73,2.18,2.20,2.30,2.32,2.79,1.75,1.32
Kyrgyzstan,MtCO2e,8.45,7.56,3.38,2.92,2.65,0.56,1.01,1.06,1.17,1.15,0.84,0.62,1.49,1.68,1.59,0.74,0.73,0.96,1.05,0.43,0.65,0.57,1.52,0.74,1.40,1.82,0.90,0.86,1.19
Lebanon,MtCO2e,0.33,0.56,0.34,0.60,1.00,1.39,1.07,1.37,0.98,1.48,1.19,1.72,1.12,1.53,1.83,1.81,0.78,0.52,0.95,1.13,0.82,1.15,1.12,0.99,1.19,1.19,1.08,1.15,1.16
Honduras,MtCO2e,0.76,0.76,0.78,0.76,0.78,0.75,0.92,0.71,0.78,1.01,1.04,1.20,1.20,1.44,1.73,1.70,1.98,1.88,1.84,1.74,1.92,1.98,2.17,2.11,1.76,1.32,1.43,1.23,1.13
Costa Rica,MtCO2e,0.68,0.65,0.55,0.57,0.65,0.67,0.65,0.70,0.76,0.80,0.86,0.90,0.73,0.96,0.93,0.97,0.99,1.21,1.16,1.03,1.02,1.12,1.10,1.05,1.04,1.03,1.10,1.17,1.10
Côte d'Ivoire,MtCO2e,0.40,0.42,0.42,0.43,0.43,0.45,0.52,0.61,0.51,0.76,0.74,0.73,0.68,0.52,0.54,0.38,0.53,0.41,0.56,1.06,0.97,0.92,1.00,1.26,1.31,1.32,0.71,1.38,0.99
