Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Netherlands,MtCO2e,8.45,7.20,8.21,8.92,10.53,10.00,12.04,12.41,13.37,7.53,6.37,3.62,4.68,2.64,2.36,2.23,2.48,2.72,2.76,2.67,3.07,2.88,2.77,2.83,2.62,2.72,2.77,2.59,2.41
Norway,MtCO2e,5.99,5.45,3.26,3.25,3.00,2.89,2.75,2.58,2.60,2.70,2.74,2.71,2.46,1.82,1.87,1.86,1.74,1.87,1.90,1.50,1.53,1.60,1.59,1.60,1.69,1.66,1.83,1.89,1.95
Romania,MtCO2e,2.81,2.58,1.80,1.87,1.98,2.36,2.35,2.35,2.31,2.12,1.75,1.49,1.17,0.54,0.46,0.48,0.57,0.73,1.00,0.98,1.06,1.16,1.26,1.36,1.43,1.70,1.95,1.83,1.71
Paraguay,MtCO2e,0.02,0.02,0.03,0.04,0.05,0.06,0.09,0.13,0.16,0.20,0.24,0.26,0.28,0.30,0.32,0.34,0.41,0.48,0.54,0.61,0.67,0.79,0.91,1.03,1.14,1.26,1.38,1.49,1.61
New Zealand,MtCO2e,0.93,0.92,0.48,0.23,0.22,0.22,0.39,0.35,0.26,0.34,0.33,0.39,0.57,0.77,0.78,0.82,0.94,1.02,1.10,1.14,1.22,1.42,1.44,1.49,1.51,1.63,1.45,1.50,1.55
Peru,MtCO2e,0.08,0.08,0.08,0.08,0.08,0.08,0.10,0.13,0.16,0.18,0.21,0.24,0.27,0.30,0.33,0.36,0.41,0.46,0.52,0.57,0.62,0.69,0.76,0.83,0.90,0.97,1.06,1.15,1.23
Panama,MtCO2e,0.02,0.02,0.03,0.03,0.04,0.04,0.07,0.10,0.12,0.15,0.17,0.19,0.21,0.23,0.24,0.26,0.31,0.36,0.40,0.45,0.50,0.58,0.67,0.75,0.84,0.92,1.01,1.09,1.18
Mali,MtCO2e,0.00,0.01,0.01,0.02,0.03,0.03,0.06,0.08,0.10,0.13,0.15,0.16,0.17,0.18,0.19,0.20,0.23,0.27,0.31,0.35,0.38,0.46,0.53,0.60,0.68,0.75,0.84,0.92,1.01
Madagascar,MtCO2e,0.00,0.01,0.02,0.02,0.03,0.03,0.06,0.08,0.10,0.12,0.15,0.16,0.16,0.17,0.18,0.19,0.22,0.26,0.30,0.33,0.37,0.44,0.51,0.58,0.65,0.72,0.80,0.88,0.97
Mozambique,MtCO2e,0.00,0.01,0.01,0.01,0.02,0.02,0.06,0.10,0.13,0.17,0.21,0.31,0.41,0.51,0.61,0.72,0.68,0.65,0.61,0.58,0.54,0.57,0.60,0.64,0.67,0.70,0.75,0.80,0.85
Malawi,MtCO2e,0.00,0.01,0.01,0.02,0.02,0.03,0.05,0.06,0.08,0.10,0.12,0.12,0.13,0.14,0.15,0.15,0.18,0.21,0.24,0.27,0.29,0.35,0.40,0.46,0.52,0.57,0.64,0.70,0.77
Qatar,MtCO2e,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.06,0.07,0.09,0.10,0.12,0.16,0.19,0.23,0.27,0.31,0.36,0.42,0.48,0.53,0.59,0.61,0.64,0.66
Niger,MtCO2e,0.00,0.01,0.01,0.01,0.02,0.02,0.04,0.05,0.07,0.08,0.10,0.11,0.11,0.12,0.12,0.13,0.15,0.18,0.20,0.23,0.25,0.30,0.35,0.39,0.44,0.49,0.55,0.60,0.66
Nicaragua,MtCO2e,0.01,0.01,0.01,0.02,0.02,0.02,0.04,0.05,0.06,0.08,0.09,0.10,0.11,0.12,0.13,0.14,0.16,0.19,0.21,0.24,0.26,0.31,0.35,0.40,0.44,0.49,0.53,0.58,0.62
Lithuania,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.07,0.09,0.12,0.16,0.20,0.22,0.26,0.31,0.35,0.41,0.46,0.53,0.66,0.61,0.57
Morocco,MtCO2e,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.08,0.09,0.11,0.13,0.16,0.18,0.21,0.23,0.26,0.29,0.31,0.34,0.36,0.37,0.38,0.40,0.41,0.45,0.48,0.52
Mauritius,MtCO2e,0.00,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.06,0.16,0.08,0.08,0.08,0.09,0.09,0.11,0.13,0.14,0.16,0.18,0.21,0.24,0.27,0.30,0.33,0.37,0.41,0.45
Maldives,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.05,0.06,0.07,0.09,0.11,0.13,0.15,0.17,0.21,0.26,0.30
Namibia,MtCO2e,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.07,0.07,0.08,0.09,0.10,0.11,0.12,0.15,0.17,0.19,0.21,0.23,0.25,0.28,0.30
Montenegro,MtCO2e,1.44,1.46,1.48,1.50,1.52,1.54,1.56,1.58,1.60,1.62,1.64,1.66,1.68,1.70,1.52,1.34,1.18,1.01,0.85,0.68,0.54,0.49,0.43,0.38,0.32,0.27,0.28,0.28,0.29
Papua New Guinea,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.07,0.07,0.09,0.11,0.12,0.14,0.15,0.19,0.23,0.27
Mongolia,MtCO2e,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.07,0.08,0.09,0.10,0.12,0.13,0.15,0.18,0.22,0.26
Malta,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.03,0.04,0.08,0.10,0.11,0.13,0.15,0.17,0.20,0.22,0.23,0.25,0.26,0.24,0.23
Rwanda,MtCO2e,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.06,0.07,0.08,0.08,0.10,0.12,0.13,0.15,0.17,0.18,0.20,0.22
Moldova,MtCO2e,false,0.00,0.00,0.00,0.01,0.03,0.03,0.04,0.05,0.05,0.06,0.07,0.07,0.08,0.08,0.09,0.10,0.11,0.13,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.11
Nepal,MtCO2e,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.07,0.08
Macedonia,MtCO2e,1.76,1.41,1.06,0.71,0.35,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06
Luxembourg,MtCO2e,0.00,0.00,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.06,0.06
Saint Lucia,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04
Mauritania,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03
Marshall Islands,MtCO2e,false,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.02
Palau,MtCO2e,false,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01
Saint Kitts and Nevis,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Liechtenstein,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Myanmar,MtCO2e,false,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01
Micronesia,MtCO2e,false,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nauru,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Niue,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
United States,MtCO2e,99.39,90.15,94.74,94.45,97.57,115.29,124.38,130.98,145.82,142.42,143.65,130.28,137.81,127.23,134.13,135.45,137.60,148.45,149.44,144.31,153.08,159.37,154.58,154.04,159.16,161.05,160.92,165.29,169.66
