Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Mongolia,MtCO2e,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.08,0.08,0.09,0.09,0.11,0.12,0.13,0.15,0.16,0.16,0.17,0.17
Papua New Guinea,MtCO2e,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.10,0.11,0.12,0.13,0.14,0.15,0.15,0.16,0.16
Costa Rica,MtCO2e,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.10,0.11,0.11,0.12,0.13,0.14,0.14,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15
Lithuania,MtCO2e,0.34,0.30,0.22,0.20,0.20,0.18,0.16,0.15,0.15,0.13,0.12,0.12,0.13,0.13,0.14,0.14,0.15,0.16,0.16,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Côte d'Ivoire,MtCO2e,0.11,0.48,0.85,1.23,1.60,1.37,1.14,0.90,0.67,0.44,0.20,0.20,0.19,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14
Panama,MtCO2e,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.10,0.11,0.11,0.12,0.12,0.12,0.12,0.12
Chad,MtCO2e,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.10,0.10,0.10,0.10,0.11,0.11,0.11,0.11,0.11,0.11
Namibia,MtCO2e,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.09
Albania,MtCO2e,0.07,0.06,0.06,0.05,0.04,0.03,0.03,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.09,0.09,0.09
Azerbaijan,MtCO2e,0.06,0.06,0.05,0.07,0.08,0.10,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.07,0.07,0.08,0.08,0.08,0.07
Bhutan,MtCO2e,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.07,0.07
Rwanda,MtCO2e,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Moldova,MtCO2e,0.18,0.16,0.11,0.09,0.08,0.06,0.06,0.05,0.05,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07
Luxembourg,MtCO2e,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Cyprus,MtCO2e,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Macedonia,MtCO2e,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05
Bahamas,MtCO2e,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05
Montenegro,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Armenia,MtCO2e,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04
Mauritania,MtCO2e,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Republic of Congo,MtCO2e,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04
Brunei,MtCO2e,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04
Mauritius,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04
Oman,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04
Bahrain,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Maldives,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Cape Verde,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02
Barbados,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Saint Kitts and Nevis,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Belize,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Bosnia and Herzegovina,MtCO2e,0.13,0.32,0.03,0.01,0.01,0.01,0.04,0.04,0.06,0.06,0.07,0.12,0.11,0.11,0.10,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01
Antigua and Barbuda,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Djibouti,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Comoros,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Malta,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00
Liechtenstein,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nauru,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saint Lucia,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saint Vincent and the Grenadines,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Micronesia,MtCO2e,false,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Andorra,MtCO2e,false,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cook Islands,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
India,MtCO2e,2.63,2.82,3.01,3.21,3.40,4.75,6.11,7.46,8.81,10.17,11.52,11.81,12.10,12.40,12.69,12.98,13.27,13.56,13.85,14.14,14.44,14.61,14.78,14.95,15.12,15.29,15.62,15.95,16.28
Indonesia,MtCO2e,3.19,3.17,3.16,3.14,3.11,3.27,3.47,3.68,3.88,4.08,4.29,4.40,4.51,4.62,4.73,4.84,4.95,5.07,5.18,5.30,5.41,5.53,5.66,5.98,6.30,6.54,6.67,6.80,6.93
Ethiopia,MtCO2e,0.60,0.81,1.33,1.55,1.70,1.98,2.12,2.25,2.38,2.51,2.65,2.76,2.87,2.98,3.09,3.20,3.44,3.67,3.90,4.14,4.37,4.80,5.22,5.65,6.07,6.50,6.59,6.68,6.76
Japan,MtCO2e,6.59,6.85,6.97,7.09,7.35,7.94,8.12,8.33,8.18,8.31,8.34,8.35,8.09,7.84,7.61,7.60,7.37,7.35,7.08,6.77,6.61,6.59,6.57,6.61,6.50,6.48,6.25,6.14,6.02
Germany,MtCO2e,6.74,6.33,6.06,5.97,5.94,5.96,5.94,5.83,5.61,5.48,5.37,5.42,5.08,5.08,5.12,4.93,5.05,5.18,5.25,5.05,5.42,5.56,5.49,5.51,5.40,5.49,5.52,5.53,5.53
Italy,MtCO2e,4.60,4.72,4.70,4.64,4.58,4.80,4.80,4.85,4.96,4.96,4.95,4.97,4.77,5.16,5.06,5.32,5.37,5.59,5.59,5.24,5.21,4.63,4.77,4.69,4.48,4.60,4.48,4.48,4.47
Iran,MtCO2e,2.26,2.35,2.44,2.53,2.62,2.61,2.59,2.57,2.56,2.54,2.52,2.66,2.80,2.94,3.08,3.22,3.27,3.32,3.36,3.41,3.45,3.52,3.59,3.65,3.72,3.79,3.87,3.94,4.02
South Korea,MtCO2e,0.78,0.81,0.87,0.95,0.98,1.04,1.11,1.17,1.06,1.14,1.21,1.26,1.34,1.38,1.43,1.43,1.44,1.53,2.30,1.96,2.28,2.66,3.75,3.70,3.81,3.81,3.86,3.90,3.95
France,MtCO2e,3.24,3.40,3.38,3.42,3.43,3.74,4.17,4.34,4.68,3.76,3.65,3.77,3.89,3.96,4.01,3.92,3.82,3.74,3.73,3.48,3.58,3.51,3.61,3.76,3.65,3.72,3.88,3.87,3.86
Kenya,MtCO2e,0.59,0.60,0.61,0.63,0.64,0.65,0.67,0.68,0.69,0.71,0.72,0.76,0.79,0.83,0.87,0.91,0.94,0.97,1.01,1.04,1.07,1.13,1.19,1.25,1.31,1.37,1.39,1.41,1.43
Iraq,MtCO2e,0.52,0.54,0.56,0.58,0.60,0.62,0.62,0.62,0.62,0.62,0.62,0.66,0.69,0.73,0.76,0.80,0.82,0.85,0.88,0.91,0.93,1.00,1.07,1.14,1.20,1.27,1.30,1.33,1.36
