Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Côte d'Ivoire,11924873.0,12362404.0,12812428.0,13271638.0,13735438.0,14199759.0,14665125.0,15130674.0,15589407.0,16032573.0,16454660.0,16853027.0,17231539.0,17599613.0,17970493.0,18354513.0,18754914.0,19171250.0,19605568.0,20059147.0,20532944.0,21028652.0,21547188.0,22087506.0,22647672.0,23226148.0,23822726.0,24437475.0,25069226.0
Cameroon,11780086.0,12137912.0,12499499.0,12864091.0,13230978.0,13599984.0,13970812.0,14344444.0,14723772.0,15112598.0,15513944.0,15928910.0,16357605.0,16800869.0,17259322.0,17733408.0,18223677.0,18730283.0,19252674.0,19789922.0,20341236.0,20906392.0,21485267.0,22077300.0,22681853.0,23298376.0,23926549.0,24566070.0,25216261.0
Democratic Republic of the Congo,34612023.0,35908240.0,37333917.0,38815835.0,40252973.0,41576239.0,42757239.0,43827191.0,44849968.0,45919615.0,47105830.0,48428534.0,49871670.0,51425583.0,53068869.0,54785894.0,56578046.0,58453687.0,60411195.0,62448572.0,64563853.0,66755151.0,69020749.0,71358804.0,73767445.0,76244532.0,78789130.0,81398765.0,84068092.0
Republic of Congo,2356740.0,2422312.0,2489945.0,2559880.0,2632345.0,2707532.0,2785815.0,2867283.0,2951651.0,3038432.0,3127420.0,3217930.0,3310376.0,3406915.0,3510468.0,3622775.0,3745143.0,3876123.0,4011487.0,4145400.0,4273738.0,4394842.0,4510197.0,4622757.0,4736965.0,4856093.0,4980996.0,5110701.0,5244363.0
Colombia,33102569.0,33758328.0,34422568.0,35091272.0,35758978.0,36421438.0,37076387.0,37723803.0,38364307.0,38999468.0,39629965.0,40255956.0,40875363.0,41483872.0,42075953.0,42647731.0,43200901.0,43737512.0,44254972.0,44750054.0,45222699.0,45662747.0,46075721.0,46495492.0,46967706.0,47520667.0,48175048.0,48909844.0,49661056.0
Comoros,411598.0,423873.0,436454.0,449270.0,462280.0,475394.0,488625.0,501955.0,515382.0,528853.0,542358.0,555895.0,569480.0,583213.0,597230.0,611625.0,626427.0,641624.0,657227.0,673251.0,689696.0,706578.0,723865.0,741511.0,759390.0,777435.0,795597.0,813890.0,832322.0
Cape Verde,337953.0,346229.0,355763.0,366057.0,376409.0,386288.0,395533.0,404248.0,412513.0,420456.0,428178.0,435701.0,442955.0,449925.0,456619.0,463034.0,469171.0,475067.0,480846.0,486667.0,492644.0,498858.0,505241.0,511740.0,518276.0,524740.0,531140.0,537499.0,543764.0
Costa Rica,3119436.0,3202083.0,3286525.0,3372298.0,3458829.0,3545524.0,3632361.0,3718952.0,3803893.0,3885428.0,3962369.0,4034074.0,4100922.0,4164053.0,4225156.0,4285504.0,4345421.0,4404626.0,4463123.0,4520739.0,4577371.0,4633086.0,4688003.0,4742111.0,4795390.0,4847805.0,4899336.0,4949955.0,4999443.0
Cuba,10596986.0,10673534.0,10736386.0,10789312.0,10838461.0,10888246.0,10939285.0,10989730.0,11038706.0,11084673.0,11126423.0,11164676.0,11199664.0,11229185.0,11250369.0,11261586.0,11261241.0,11251117.0,11236975.0,11226711.0,11225833.0,11236671.0,11257112.0,11282722.0,11306909.0,11324777.0,11335108.0,11339255.0,11338146.0
Cyprus,766616.0,783121.0,800610.0,818750.0,837104.0,855391.0,873426.0,891190.0,908710.0,926049.0,943288.0,960274.0,976968.0,993562.0,1010410.0,1027657.0,1045508.0,1063708.0,1081568.0,1098089.0,1112617.0,1124837.0,1135046.0,1143866.0,1152297.0,1160987.0,1170189.0,1179685.0,1189262.0
Czech Republic,10333355.0,10308578.0,10319123.0,10329855.0,10333587.0,10327253.0,10315241.0,10304131.0,10294373.0,10283860.0,10255063.0,10216605.0,10196916.0,10193998.0,10197101.0,10211216.0,10238905.0,10298828.0,10384603.0,10443936.0,10474410.0,10496088.0,10510785.0,10514272.0,10525347.0,10546059.0,10566332.0,10594438.0,10629928.0
Germany,79433029.0,80013896.0,80624598.0,81156363.0,81438348.0,81678051.0,81914831.0,82034771.0,82047195.0,82100243.0,82211508.0,82349925.0,82488495.0,82534176.0,82516260.0,82469422.0,82376451.0,82266372.0,82110097.0,81902307.0,81776930.0,80274983.0,80425823.0,80645605.0,80982500.0,81686611.0,82348669.0,82657002.0,82905782.0
Djibouti,590393.0,606843.0,615050.0,618504.0,622364.0,630385.0,643649.0,660858.0,680465.0,699973.0,717577.0,733019.0,746947.0,759639.0,771599.0,783248.0,794554.0,805456.0,816361.0,827820.0,840194.0,853671.0,868136.0,883296.0,898707.0,913998.0,929117.0,944100.0,958923.0
Dominica,70422.0,70377.0,70546.0,70818.0,71044.0,71105.0,70933.0,70592.0,70183.0,69828.0,69650.0,69671.0,69840.0,70102.0,70387.0,70580.0,70718.0,70797.0,70829.0,70848.0,70877.0,70912.0,70954.0,71019.0,71091.0,71175.0,71307.0,71460.0,71626.0
Denmark,5140939.0,5154298.0,5171370.0,5188628.0,5206180.0,5233373.0,5263074.0,5284991.0,5304219.0,5321799.0,5339616.0,5358783.0,5375931.0,5390574.0,5404523.0,5419432.0,5437272.0,5461438.0,5493621.0,5523095.0,5547683.0,5570572.0,5591572.0,5614932.0,5643475.0,5683483.0,5728010.0,5764980.0,5793636.0
Dominican Republic,7133491.0,7270413.0,7408339.0,7546467.0,7683707.0,7819239.0,7952766.0,8084407.0,8214427.0,8343288.0,8471317.0,8598599.0,8724974.0,8850317.0,8974444.0,9097262.0,9218681.0,9338856.0,9458079.0,9576736.0,9695117.0,9813219.0,9930916.0,10048226.0,10165182.0,10281675.0,10397738.0,10513111.0,10627147.0
Algeria,25758872.0,26400468.0,27028330.0,27635517.0,28213777.0,28757788.0,29266415.0,29742980.0,30192750.0,30623406.0,31042238.0,31451513.0,31855110.0,32264159.0,32692153.0,33149720.0,33641007.0,34166976.0,34730604.0,35333882.0,35977451.0,36661438.0,37383899.0,38140135.0,38923688.0,39728020.0,40551398.0,41389174.0,42228415.0
Ecuador,10230931.0,10472476.0,10716131.0,10961460.0,11207999.0,11455205.0,11703169.0,11951457.0,12198449.0,12442109.0,12681123.0,12914660.0,13143465.0,13369678.0,13596390.0,13825839.0,14059379.0,14296554.0,14535740.0,14774412.0,15011114.0,15243885.0,15474099.0,15707473.0,15951832.0,16212022.0,16491116.0,16785356.0,17084359.0
Egypt,56134478.0,57424552.0,58666812.0,59880656.0,61095804.0,62334025.0,63601632.0,64892269.0,66200259.0,67515591.0,68831561.0,70152662.0,71485044.0,72826102.0,74172073.0,75523576.0,76873670.0,78232124.0,79636081.0,81134789.0,82761244.0,84529251.0,86422240.0,88404652.0,90424668.0,92442549.0,94447071.0,96442590.0,98423602.0
Eritrea,2258649.0,2266356.0,2257593.0,2238631.0,2218436.0,2204227.0,2196467.0,2195192.0,2206439.0,2237412.0,2292413.0,2374721.0,2481059.0,2600972.0,2719809.0,2826653.0,2918209.0,2996540.0,3062782.0,3119920.0,3170437.0,3213969.0,,,,,,,
Spain,38867322.0,38966376.0,39157685.0,39361262.0,39549108.0,39724050.0,39889852.0,40057389.0,40223509.0,40386875.0,40567864.0,40850412.0,41431558.0,42187645.0,42921895.0,43653155.0,44397319.0,45226803.0,45954106.0,46362946.0,46576897.0,46742697.0,46773055.0,46620045.0,46480882.0,46444832.0,46484062.0,46593236.0,46797754.0
Estonia,1569174.0,1561314.0,1533091.0,1494128.0,1462514.0,1436634.0,1415594.0,1399535.0,1386156.0,1390244.0,1396985.0,1388115.0,1379350.0,1370720.0,1362550.0,1354775.0,1346810.0,1340680.0,1337090.0,1334515.0,1331475.0,1327439.0,1322696.0,1317997.0,1314545.0,1315407.0,1315790.0,1317384.0,1321977.0
Ethiopia,47887864.0,49609976.0,51423591.0,53295556.0,55180993.0,57047906.0,58883531.0,60697443.0,62507724.0,64343008.0,66224809.0,68159422.0,70142090.0,72170581.0,74239508.0,76346310.0,78489205.0,80674343.0,82916236.0,85233923.0,87639962.0,90139928.0,92726982.0,95385793.0,98094264.0,100835453.0,103603461.0,106399926.0,109224410.0
Finland,4986431.0,5013740.0,5041992.0,5066447.0,5088333.0,5107790.0,5124573.0,5139835.0,5153498.0,5165474.0,5176209.0,5188008.0,5200598.0,5213014.0,5228172.0,5246096.0,5266268.0,5288720.0,5313399.0,5338871.0,5363352.0,5388272.0,5413971.0,5438972.0,5461512.0,5479531.0,5495303.0,5508214.0,5515525.0
Fiji,728575.0,735398.0,744470.0,754962.0,765607.0,775428.0,784389.0,792736.0,800148.0,806302.0,811011.0,813923.0,815257.0,816078.0,817864.0,821606.0,827869.0,836185.0,845356.0,853636.0,859816.0,863451.0,865065.0,865602.0,866447.0,868632.0,872406.0,877460.0,883490.0
France,58235716.0,58559309.0,58851216.0,59106758.0,59327200.0,59541904.0,59753095.0,59964841.0,60186284.0,60496708.0,60912500.0,61357432.0,61805266.0,62244880.0,62704901.0,63179356.0,63621376.0,64016227.0,64374979.0,64707035.0,65027505.0,65342789.0,65659814.0,65998685.0,66312067.0,66548272.0,66724104.0,66918020.0,67101930.0
Micronesia,96304.0,98779.0,101386.0,103901.0,106030.0,107535.0,108311.0,108473.0,108206.0,107769.0,107405.0,107170.0,107027.0,106902.0,106624.0,106135.0,105374.0,104442.0,103549.0,102971.0,102916.0,103448.0,104506.0,105922.0,107444.0,108886.0,110215.0,111461.0,112640.0
Gabon,949493.0,975785.0,1002573.0,1029769.0,1057252.0,1084951.0,1112944.0,1141332.0,1170061.0,1199058.0,1228359.0,1258008.0,1288310.0,1319946.0,1353788.0,1390550.0,1430144.0,1472565.0,1518538.0,1568925.0,1624146.0,1684629.0,1749677.0,1817070.0,1883801.0,1947690.0,2007882.0,2064812.0,2119275.0
United Kingdom,57247586.0,57424897.0,57580402.0,57718614.0,57865745.0,58019030.0,58166950.0,58316954.0,58487141.0,58682466.0,58892514.0,59119673.0,59370479.0,59647577.0,59987905.0,60401206.0,60846820.0,61322463.0,61806995.0,62276270.0,62766365.0,63258810.0,63700215.0,64128273.0,64602298.0,65116219.0,65611593.0,66058859.0,66460344.0
Georgia,4802000.0,4835900.0,4873500.0,4911100.0,4836076.0,4657722.0,4491699.0,4349913.0,4243607.0,4157192.0,4077131.0,4014373.0,3978515.0,3951736.0,3927340.0,3902469.0,3880347.0,3860158.0,3848449.0,3814419.0,3786695.0,3756441.0,3728874.0,3717668.0,3719414.0,3725276.0,3727505.0,3728004.0,3726549.0
Ghana,14773274.0,15207360.0,15653345.0,16106756.0,16561677.0,17014058.0,17462504.0,17908977.0,18357159.0,18812369.0,19278850.0,19756929.0,20246376.0,20750308.0,21272328.0,21814648.0,22379057.0,22963946.0,23563832.0,24170943.0,24779614.0,25387713.0,25996454.0,26607641.0,27224480.0,27849203.0,28481947.0,29121464.0,29767108.0
Guinea,6352282.0,6534936.0,6716032.0,6897171.0,7081119.0,7269631.0,7463782.0,7662071.0,7860772.0,8054745.0,8240735.0,8417082.0,8586077.0,8753097.0,8925729.0,9109585.0,9307421.0,9518159.0,9738796.0,9964470.0,10192168.0,10420459.0,10652032.0,10892821.0,11150970.0,11432096.0,11738434.0,12067516.0,12414292.0
