Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Canada,1.9528122641022623,1.9302692538055024,1.9859893063300382,1.9731446841522755,2.0247893716516647,2.0291313513372837,2.0806398908889423,2.03901171536933,2.117358857912617,2.1097558438676662,2.1164903586517996,2.742216485891134,2.71342742140648,2.697066349824999,2.561230243030482,2.5363235964157345,2.407931156441892,2.4351555872786874,2.3562473638416126,2.2673059569750054,2.2135513286202264,1.8661698068155297,1.8532264218915258,1.8517950419249956,1.8424196488422904,1.8309392324841969,1.5631152084370104,1.5755895863175242,1.5831815400062994
South Korea,0.7737523047102763,0.8569374700989671,0.9434829242357986,1.0440486978690837,1.1406730203136148,1.2223967567881269,1.307769900691889,1.340922633423298,1.1729586707893878,1.2869452861894493,1.423426275113114,1.4150454961344836,1.3556823448034971,1.353730015663036,1.3568751474544087,1.3271577246318769,1.3024411265177827,1.2941411617265572,1.3160078216887798,1.3404975996127861,1.4149695459922615,1.4855656877112624,1.4758069997054917,1.4555311938357787,1.4146285645561771,1.465934671006818,1.4903522540438596,1.4991718607716173,1.4845665840715705
Mexico,1.3062728597750461,1.3557697156188853,1.370538933087774,1.430802897165156,1.5074882267602698,1.4179180156865727,1.4794398586860262,1.5054923541335208,1.6340631312627842,1.5744580279359177,1.620893520850635,1.343495390973653,1.3190482280446265,1.3522260204070669,1.3016974195830726,1.3359795454055605,1.341527155616233,1.3686915739562353,1.4282726681455364,1.3848892857745867,1.3418257969860627,1.5555124867739618,1.5230260717685475,1.4910731072178132,1.4541695516662048,1.5071553115570022,1.5172683717942084,1.4916815771002672,1.4664565796141993
Democratic Republic of the Congo,1.3450516282911356,1.3350157852856783,1.3401935321121572,1.3379671242012217,1.3303164820465354,1.3019095331271826,1.2748862242554262,1.245372456186696,1.268282872763428,1.2457729761714895,1.2128834188778912,1.1855985396875335,1.186373318701689,1.1765002889819456,1.1308360245497342,1.1075144369598202,1.073381062227421,1.0364354482947422,1.0363901934555908,1.0355480555831749,1.0029467255034412,1.5267558310358735,1.5064571969994793,1.4956966236935278,1.4781796696597116,1.4806825481654224,1.4599225607960358,1.4445096220689007,1.406928706192817
Saudi Arabia,0.6219125688632136,0.695302786007608,0.7445416826771551,0.7679714737632817,0.80198031302787,0.7981491292333899,0.8306458105426664,0.7555388753576007,0.8193720507359381,0.840001802913786,0.8626782934654847,0.8777548487998311,0.9099122513892498,0.9241513706768193,0.9293374138552454,0.9502003204927388,0.9737466940437866,1.0111669318242638,1.0917128451592444,1.1368539637812618,1.1930798750940235,1.2378852188990808,1.299901519583477,1.3200468224170865,1.39896791101807,1.4654596295756477,1.455684975802112,1.4234063790285523,1.3614474307617197
Australia,1.7449209855554495,1.7360124658866878,1.7489312806190955,1.7453925095250487,1.7449705050006084,1.734503309891324,1.7170251608961882,1.6853934185220296,1.7845765498995758,1.8880032267533917,1.9065431376019386,1.9135197163118962,1.8413869258557929,1.591119552582897,1.6535130716652122,1.52715241148982,1.589635321795833,1.559093516245501,1.4770232610978014,1.5126238417826838,1.3837317746775575,1.4763698533118268,1.456928254995427,1.2449968511880682,1.255188402637133,1.252144434187868,1.259201575103954,1.3429910301749026,1.3105207781361505
South Africa,1.0092985616012324,0.9936366912270216,0.9937810431293264,1.015410492226465,1.0294974448264078,1.0450336074599618,1.0658928495318738,1.059116578340459,1.1005481069376313,1.0432052108831273,1.028009602773731,1.120470685958695,1.1301294983023717,1.1624809046316606,1.1763563692235337,1.1539041819941627,1.116740239658438,1.144519336927604,1.212568311269602,1.1603982072606318,1.173570364489533,1.1358541761004535,1.1641966605499532,1.1702536535640735,1.1815141126498496,1.1278347287675377,1.1104389179805843,1.117525075618201,1.0991411361325736
Turkey,0.587645115250191,0.592978222824035,0.6178558013683803,0.6366848339322441,0.6175945359206848,0.6487261353230873,0.6944345783549045,0.6959518128458991,0.7096293047227811,0.7103018031449289,0.7667243014617454,0.6268909569607303,0.643104768898405,0.6609253438240583,0.6500417931583204,0.6688544113865648,0.7138571923484089,0.7713173209404719,0.7608331586652244,0.766196282073169,0.7581643918727664,0.7670540009074421,0.7884874305317721,0.7657288305395753,0.8186152391569982,0.83678548100644,0.948005258012496,1.0253272580680457,1.0068584938292944
United Kingdom,2.389637324271152,2.420584701247942,2.364566686794138,2.3098204744406323,2.262179946090392,2.1909688682651587,2.2325086071765146,2.093440835119378,2.120219450818173,2.0434756479510345,2.0184090981289113,2.043407629634701,1.9340448382887026,1.9098054044995239,1.8184570780549671,1.77020359860114,1.7014131567098691,1.632294063958949,1.5765430079045437,1.440677886608672,1.4084513395590852,1.313430459931119,1.339680145201978,1.2804730273690261,1.1757170751523183,1.138134490707002,1.0755374013723387,1.0354475570734367,0.9981541408896468
Thailand,0.560453628163212,0.5944848044334085,0.6379010357526801,0.6866402001659847,0.7313072499191478,0.7734098267381306,0.825347720459744,0.8172062131267648,0.77198445108834,0.8026722418308359,0.7922515236915313,0.6935748627986418,0.7094697266605335,0.7303239820637822,0.759731222473576,0.7601051200143556,0.7421034270891048,0.7630997246750024,0.7630629643130169,0.7594191044182509,0.775644011200489,0.8493668364486001,0.8868790059030504,0.901257026758985,0.8835290806871912,0.8880683627805038,0.9105271193727693,0.9383894711859728,0.9283749323710967
